Rango Poblacional;Municipio;Codigo Postal;Provincia
>500K;ALBALAT DELS SORELLS;46135;VALENCIA
>500K;BARCELONA;8001;BARCELONA
>500K;BARCELONA;8002;BARCELONA
>500K;BARCELONA;8003;BARCELONA
>500K;BARCELONA;8004;BARCELONA
>500K;BARCELONA;8005;BARCELONA
>500K;BARCELONA;8006;BARCELONA
>500K;BARCELONA;8007;BARCELONA
>500K;BARCELONA;8008;BARCELONA
>500K;BARCELONA;8009;BARCELONA
>500K;BARCELONA;8010;BARCELONA
>500K;BARCELONA;8011;BARCELONA
>500K;BARCELONA;8012;BARCELONA
>500K;BARCELONA;8013;BARCELONA
>500K;BARCELONA;8014;BARCELONA
>500K;BARCELONA;8015;BARCELONA
>500K;BARCELONA;8016;BARCELONA
>500K;BARCELONA;8017;BARCELONA
>500K;BARCELONA;8018;BARCELONA
>500K;BARCELONA;8019;BARCELONA
>500K;BARCELONA;8020;BARCELONA
>500K;BARCELONA;8021;BARCELONA
>500K;BARCELONA;8022;BARCELONA
>500K;BARCELONA;8023;BARCELONA
>500K;BARCELONA;8024;BARCELONA
>500K;BARCELONA;8025;BARCELONA
>500K;BARCELONA;8026;BARCELONA
>500K;BARCELONA;8027;BARCELONA
>500K;BARCELONA;8028;BARCELONA
>500K;BARCELONA;8029;BARCELONA
>500K;BARCELONA;8030;BARCELONA
>500K;BARCELONA;8031;BARCELONA
>500K;BARCELONA;8032;BARCELONA
>500K;BARCELONA;8033;BARCELONA
>500K;BARCELONA;8034;BARCELONA
>500K;BARCELONA;8035;BARCELONA
>500K;BARCELONA;8036;BARCELONA
>500K;BARCELONA;8037;BARCELONA
>500K;BARCELONA;8038;BARCELONA
>500K;BARCELONA;8039;BARCELONA
>500K;BARCELONA;8040;BARCELONA
>500K;BARCELONA;8041;BARCELONA
>500K;BARCELONA;8042;BARCELONA
>500K;BONREPOS I MIRAMBELL;46131;VALENCIA
>500K;CUEVAS DEL BECERRO;29470;MALAGA
>500K;Desconocido;99999;VALENCIA
>500K;JOYOSA (LA);50692;ZARAGOZA
>500K;LUNA;50012;ZARAGOZA
>500K;MADRID;28001;MADRID
>500K;MADRID;28002;MADRID
>500K;MADRID;28003;MADRID
>500K;MADRID;28004;MADRID
>500K;MADRID;28005;MADRID
>500K;MADRID;28006;MADRID
>500K;MADRID;28007;MADRID
>500K;MADRID;28008;MADRID
>500K;MADRID;28009;MADRID
>500K;MADRID;28010;MADRID
>500K;MADRID;28011;MADRID
>500K;MADRID;28012;MADRID
>500K;MADRID;28013;MADRID
>500K;MADRID;28014;MADRID
>500K;MADRID;28015;MADRID
>500K;MADRID;28016;MADRID
>500K;MADRID;28017;MADRID
>500K;MADRID;28018;MADRID
>500K;MADRID;28019;MADRID
>500K;MADRID;28020;MADRID
>500K;MADRID;28021;MADRID
>500K;MADRID;28022;MADRID
>500K;MADRID;28023;MADRID
>500K;MADRID;28024;MADRID
>500K;MADRID;28025;MADRID
>500K;MADRID;28026;MADRID
>500K;MADRID;28027;MADRID
>500K;MADRID;28028;MADRID
>500K;MADRID;28029;MADRID
>500K;MADRID;28030;MADRID
>500K;MADRID;28031;MADRID
>500K;MADRID;28032;MADRID
>500K;MADRID;28033;MADRID
>500K;MADRID;28034;MADRID
>500K;MADRID;28035;MADRID
>500K;MADRID;28036;MADRID
>500K;MADRID;28037;MADRID
>500K;MADRID;28038;MADRID
>500K;MADRID;28039;MADRID
>500K;MADRID;28040;MADRID
>500K;MADRID;28041;MADRID
>500K;MADRID;28042;MADRID
>500K;MADRID;28043;MADRID
>500K;MADRID;28044;MADRID
>500K;MADRID;28045;MADRID
>500K;MADRID;28046;MADRID
>500K;MADRID;28047;MADRID
>500K;MADRID;28048;MADRID
>500K;MADRID;28049;MADRID
>500K;MADRID;28050;MADRID
>500K;MADRID;28051;MADRID
>500K;MADRID;28052;MADRID
>500K;MADRID;28053;MADRID
>500K;MADRID;28054;MADRID
>500K;MADRID;28055;MADRID
>500K;MAJADAHONDA;28023;MADRID
>500K;MALAGA;29001;GRANADA
>500K;MALAGA;29001;MALAGA
>500K;MALAGA;29002;GRANADA
>500K;MALAGA;29002;MALAGA
>500K;MALAGA;29003;MALAGA
>500K;MALAGA;29004;GRANADA
>500K;MALAGA;29004;MALAGA
>500K;MALAGA;29005;MALAGA
>500K;MALAGA;29006;GRANADA
